timestamp,price,quantity,side,level
51,96.8633,4,bid,4
51,96.6983,1,bid,5
51,101.234,1,ask,1
51,101.378,4,ask,2
51,101.47,4,ask,3
51,101.472,4,ask,4
51,101.638,1,ask,5
52,99.5242,3,bid,1
52,97.2031,2,bid,2
52,96.9898,1,bid,3
52,96.8633,4,bid,4
52,96.6983,1,bid,5
52,100.513,2,ask,1
52,101.234,1,ask,2
52,101.378,4,ask,3
52,101.47,4,ask,4
52,101.472,4,ask,5
53,99.5242,3,bid,1
53,97.2031,2,bid,2
53,96.9898,1,bid,3
53,96.8633,4,bid,4
53,96.6983,1,bid,5
53,100.513,1,ask,1
53,101.234,1,ask,2
53,101.378,4,ask,3
53,101.47,4,ask,4
53,101.472,4,ask,5
54,99.5242,3,bid,1
54,97.2031,2,bid,2
54,96.9898,1,bid,3
54,96.8633,4,bid,4
54,96.6983,1,bid,5
54,101.378,3,ask,1
54,101.47,4,ask,2
54,101.472,4,ask,3
54,101.638,1,ask,4
54,101.671,5,ask,5
55,100.267,1,bid,1
55,97.1581,5,bid,2
55,96.9898,1,bid,3
55,96.8633,4,bid,4
55,96.6983,1,bid,5
55,101.378,3,ask,1
55,101.47,4,ask,2
55,101.472,4,ask,3
55,101.638,1,ask,4
55,101.671,5,ask,5
56,100.267,1,bid,1
56,97.1581,5,bid,2
56,96.9898,1,bid,3
56,96.8633,4,bid,4
56,96.6983,1,bid,5
56,101.378,2,ask,1
56,101.389,2,ask,2
56,101.47,4,ask,3
56,101.472,4,ask,4
56,101.638,1,ask,5
57,101.053,4,bid,1
57,97.1581,5,bid,2
57,96.9898,1,bid,3
57,96.8633,4,bid,4
57,96.6983,1,bid,5
57,101.47,3,ask,1
57,101.472,4,ask,2
57,101.638,1,ask,3
57,101.671,5,ask,4
57,101.706,1,ask,5
58,101.053,4,bid,1
58,99.1903,1,bid,2
58,97.1581,5,bid,3
58,96.9898,1,bid,4
58,96.8633,4,bid,5
58,101.47,3,ask,1
58,101.472,4,ask,2
58,101.511,5,ask,3
58,101.638,1,ask,4
58,101.671,5,ask,5
59,101.053,4,bid,1
59,99.1903,1,bid,2
59,97.3176,3,bid,3
59,97.1581,5,bid,4
59,96.9898,1,bid,5
59,101.47,2,ask,1
59,101.472,4,ask,2
59,101.511,5,ask,3
59,101.638,1,ask,4
59,101.671,5,ask,5
60,101.053,1,bid,1
60,99.1903,1,bid,2
60,97.3176,3,bid,3
60,97.1581,5,bid,4
60,96.9898,1,bid,5
60,101.47,2,ask,1
60,101.472,4,ask,2
60,101.511,5,ask,3
60,101.638,1,ask,4
60,101.671,5,ask,5
61,100.858,1,bid,1
61,97.3176,3,bid,2
61,97.1581,5,bid,3
61,96.9898,1,bid,4
61,96.8633,4,bid,5
61,101.47,2,ask,1
61,101.472,4,ask,2
61,101.511,5,ask,3
61,101.638,1,ask,4
61,101.671,5,ask,5
62,100.858,1,bid,1
62,97.3964,2,bid,2
62,97.3176,3,bid,3
62,97.1581,5,bid,4
62,96.9898,1,bid,5
62,101.472,2,ask,1
62,101.511,5,ask,2
62,101.638,1,ask,3
62,101.671,5,ask,4
62,101.706,1,ask,5
63,97.3964,2,bid,1
63,97.3176,3,bid,2
63,97.1581,5,bid,3
63,96.9898,1,bid,4
63,96.8633,4,bid,5
63,101.472,2,ask,1
63,101.511,5,ask,2
63,101.638,1,ask,3
63,101.671,5,ask,4
63,101.706,1,ask,5
64,97.3964,2,bid,1
64,97.3176,3,bid,2
64,97.1581,5,bid,3
64,96.9898,1,bid,4
64,96.8633,4,bid,5
64,101.472,2,ask,1
64,101.511,5,ask,2
64,101.638,1,ask,3
64,101.671,5,ask,4
64,101.706,1,ask,5
65,100.235,5,bid,1
65,97.3964,2,bid,2
65,97.3176,3,bid,3
65,97.1581,5,bid,4
65,96.9898,1,bid,5
65,101.472,2,ask,1
65,101.511,5,ask,2
65,101.638,1,ask,3
65,101.671,5,ask,4
65,101.706,1,ask,5
66,100.235,2,bid,1
66,97.4211,4,bid,2
66,97.3964,2,bid,3
66,97.3176,3,bid,4
66,97.1581,5,bid,5
66,101.472,2,ask,1
66,101.511,5,ask,2
66,101.638,1,ask,3
66,101.671,5,ask,4
66,101.706,1,ask,5
67,100.235,2,bid,1
67,98.4397,1,bid,2
67,97.8376,4,bid,3
67,97.4211,4,bid,4
67,97.3964,2,bid,5
67,101.472,1,ask,1
67,101.511,5,ask,2
67,101.638,1,ask,3
67,101.671,5,ask,4
67,101.706,1,ask,5
68,100.433,4,bid,1
68,100.385,2,bid,2
68,100.235,2,bid,3
68,98.4397,1,bid,4
68,97.8376,4,bid,5
68,101.511,5,ask,1
68,101.638,1,ask,2
68,101.671,5,ask,3
68,101.706,1,ask,4
68,102.471,3,ask,5
69,100.433,4,bid,1
69,100.385,2,bid,2
69,100.235,2,bid,3
69,98.4397,1,bid,4
69,97.8376,4,bid,5
69,101.671,4,ask,1
69,101.706,1,ask,2
69,102.471,3,ask,3
69,102.484,2,ask,4
69,102.554,3,ask,5
70,100.433,1,bid,1
70,100.385,2,bid,2
70,100.235,2,bid,3
70,98.6081,3,bid,4
70,98.4397,1,bid,5
70,101.671,4,ask,1
70,101.706,1,ask,2
70,102.471,3,ask,3
70,102.484,2,ask,4
70,102.554,3,ask,5
71,100.433,1,bid,1
71,100.385,2,bid,2
71,100.235,2,bid,3
71,98.6081,3,bid,4
71,98.4397,1,bid,5
71,100.909,1,ask,1
71,101.671,4,ask,2
71,101.706,1,ask,3
71,102.283,4,ask,4
71,102.471,3,ask,5
72,100.235,2,bid,1
72,98.6081,3,bid,2
72,98.4397,1,bid,3
72,97.8376,4,bid,4
72,97.4211,4,bid,5
72,100.71,2,ask,1
72,100.909,1,ask,2
72,101.671,4,ask,3
72,101.706,1,ask,4
72,102.203,4,ask,5
73,100.235,2,bid,1
73,98.6081,3,bid,2
73,98.4397,1,bid,3
73,97.8376,4,bid,4
73,97.4211,4,bid,5
73,100.909,1,ask,1
73,101.671,4,ask,2
73,101.706,1,ask,3
73,102.203,4,ask,4
73,102.283,4,ask,5
74,98.4397,1,bid,1
74,97.8376,4,bid,2
74,97.4211,4,bid,3
74,97.3964,2,bid,4
74,97.3176,3,bid,5
74,101.671,3,ask,1
74,101.706,1,ask,2
74,102.203,4,ask,3
74,102.283,4,ask,4
74,102.471,3,ask,5
75,98.4397,1,bid,1
75,97.8376,4,bid,2
75,97.4211,4,bid,3
75,97.3964,2,bid,4
75,97.3176,3,bid,5
75,101.671,2,ask,1
75,101.706,1,ask,2
75,102.203,4,ask,3
75,102.283,4,ask,4
75,102.471,3,ask,5
76,98.4397,1,bid,1
76,97.8376,4,bid,2
76,97.4211,4,bid,3
76,97.3964,2,bid,4
76,97.3176,3,bid,5
76,98.9059,3,ask,1
76,101.671,2,ask,2
76,101.706,1,ask,3
76,102.203,4,ask,4
76,102.283,4,ask,5
77,99.6925,2,bid,1
77,98.4397,1,bid,2
77,97.8376,4,bid,3
77,97.4211,4,bid,4
77,97.3964,2,bid,5
77,101.671,2,ask,1
77,101.706,1,ask,2
77,102.203,4,ask,3
77,102.283,4,ask,4
77,102.471,3,ask,5
78,100.442,5,bid,1
78,97.8376,4,bid,2
78,97.4211,4,bid,3
78,97.3964,2,bid,4
78,97.3176,3,bid,5
78,101.671,2,ask,1
78,101.706,1,ask,2
78,102.203,4,ask,3
78,102.283,4,ask,4
78,102.471,3,ask,5
79,100.442,5,bid,1
79,97.8376,4,bid,2
79,97.4211,4,bid,3
79,97.3964,2,bid,4
79,97.3176,3,bid,5
79,101.671,2,ask,1
79,101.706,1,ask,2
79,102.196,2,ask,3
79,102.203,4,ask,4
79,102.283,4,ask,5
80,100.442,5,bid,1
80,100.394,4,bid,2
80,97.8376,4,bid,3
80,97.4211,4,bid,4
80,97.3964,2,bid,5
80,101.671,2,ask,1
80,101.706,1,ask,2
80,102.196,2,ask,3
80,102.203,4,ask,4
80,102.283,4,ask,5
81,100.442,5,bid,1
81,100.394,4,bid,2
81,97.8376,4,bid,3
81,97.4211,4,bid,4
81,97.3964,2,bid,5
81,102.196,2,ask,1
81,102.203,4,ask,2
81,102.283,4,ask,3
81,102.471,3,ask,4
81,102.484,2,ask,5
82,100.394,3,bid,1
82,100.088,3,bid,2
82,97.8376,4,bid,3
82,97.4211,4,bid,4
82,97.3964,2,bid,5
82,100.653,5,ask,1
82,102.196,2,ask,2
82,102.203,4,ask,3
82,102.283,4,ask,4
82,102.471,3,ask,5
83,100.394,3,bid,1
83,100.088,3,bid,2
83,97.8376,4,bid,3
83,97.4211,4,bid,4
83,97.3964,2,bid,5
83,100.653,3,ask,1
83,102.196,2,ask,2
83,102.203,4,ask,3
83,102.283,4,ask,4
83,102.471,3,ask,5
84,100.394,3,bid,1
84,100.088,3,bid,2
84,97.8376,4,bid,3
84,97.4211,4,bid,4
84,97.3964,2,bid,5
84,102.203,1,ask,1
84,102.283,4,ask,2
84,102.471,3,ask,3
84,102.484,2,ask,4
84,102.554,3,ask,5
85,100.394,3,bid,1
85,100.088,3,bid,2
85,99.5023,1,bid,3
85,98.7008,2,bid,4
85,98.3899,1,bid,5
85,102.005,3,ask,1
85,102.203,1,ask,2
85,102.283,4,ask,3
85,102.471,3,ask,4
85,102.484,2,ask,5
86,100.088,1,bid,1
86,99.5023,1,bid,2
86,98.7008,2,bid,3
86,98.6634,2,bid,4
86,98.3899,1,bid,5
86,102.005,3,ask,1
86,102.203,1,ask,2
86,102.283,4,ask,3
86,102.471,3,ask,4
86,102.484,2,ask,5
87,97.8376,3,bid,1
87,97.4211,4,bid,2
87,97.3964,2,bid,3
87,97.3176,3,bid,4
87,97.2238,4,bid,5
87,102.005,3,ask,1
87,102.203,1,ask,2
87,102.283,4,ask,3
87,102.471,3,ask,4
87,102.484,2,ask,5
88,99.7794,4,bid,1
88,97.8376,3,bid,2
88,97.4211,4,bid,3
88,97.3964,2,bid,4
88,97.3176,3,bid,5
88,102.471,1,ask,1
88,102.484,2,ask,2
88,102.486,3,ask,3
88,102.554,3,ask,4
88,102.674,1,ask,5
89,99.7794,1,bid,1
89,97.8376,3,bid,2
89,97.7795,2,bid,3
89,97.4211,4,bid,4
89,97.3964,2,bid,5
89,102.486,3,ask,1
89,102.554,3,ask,2
89,102.674,1,ask,3
89,102.675,3,ask,4
89,102.782,1,ask,5
90,101.792,1,bid,1
90,97.8376,3,bid,2
90,97.7795,2,bid,3
90,97.4211,4,bid,4
90,97.3964,2,bid,5
90,102.486,3,ask,1
90,102.554,3,ask,2
90,102.674,1,ask,3
90,102.675,3,ask,4
90,102.782,1,ask,5
91,100.571,3,bid,1
91,99.2027,1,bid,2
91,97.8376,3,bid,3
91,97.7795,2,bid,4
91,97.4211,4,bid,5
91,102.486,3,ask,1
91,102.554,3,ask,2
91,102.674,1,ask,3
91,102.675,3,ask,4
91,102.782,1,ask,5
92,100.571,1,bid,1
92,99.9778,4,bid,2
92,99.2027,1,bid,3
92,97.8376,3,bid,4
92,97.7795,2,bid,5
92,102.486,3,ask,1
92,102.554,3,ask,2
92,102.674,1,ask,3
92,102.675,3,ask,4
92,102.782,1,ask,5
93,100.571,1,bid,1
93,99.9778,4,bid,2
93,99.2027,1,bid,3
93,97.8376,3,bid,4
93,97.7795,2,bid,5
93,100.703,4,ask,1
93,102.486,3,ask,2
