timestamp,price,quantity,makerTrader,takerTrader,buyerIsMaker
1331,100.474,2,4,0,1
1331,99.1591,2,3,4,0
1332,99.0209,3,1,3,1
1333,98.8366,1,0,1,1
1335,99.7433,1,5,0,0
1335,98.8366,1,0,5,1
1335,98.4876,1,1,5,1
1337,98.4876,1,1,4,1
1337,98.4872,3,2,4,1
1338,98.264,1,4,1,0
1338,99.7433,3,5,1,0
1339,98.9588,3,2,0,1
1339,98.0944,1,4,2,1
1340,99.196,3,0,5,0
1340,99.7433,1,5,5,0
1341,97.8941,3,0,4,1
1341,97.8901,2,1,4,1
1343,100.089,1,4,3,0
1343,100.194,1,2,3,0
1343,100.29,2,3,3,0
1345,101.125,2,5,2,0
1345,102.2,3,3,2,0
1346,98.5264,4,2,4,1
1347,98.5264,1,2,1,1
1353,98.1419,4,4,2,1
1353,98.052,1,1,5,1
1356,98.1605,3,5,1,0
1357,98.4526,1,2,0,0
1357,98.5132,3,1,0,0
1357,99.8664,1,5,0,0
1358,97.8901,3,1,0,1
1358,99.8664,1,5,3,0
1359,97.8791,1,4,5,0
1360,97.8791,1,4,1,0
1361,98.5256,2,3,3,0
1363,98.5256,3,3,3,0
1363,99.8664,1,5,3,0
1363,97.8717,1,3,4,1
1363,97.8469,3,0,4,1
1364,99.9481,5,2,2,0
1370,98.1962,1,0,2,1
1370,98.6067,1,4,5,0
1371,98.6067,3,4,0,0
1371,98.8318,1,1,0,0
1371,98.9177,1,5,5,0
1372,98.9177,4,5,4,0
1372,98.9479,1,2,4,0
1373,98.9479,2,2,4,0
1373,99.2648,2,1,4,0
1373,99.2648,1,1,5,0
1374,98.8382,3,1,0,1
1374,98.8382,2,1,2,1
1374,98.1962,1,0,2,1
1374,97.8469,1,0,2,1
1374,97.7328,1,4,2,1
1376,100.496,4,3,0,0
1376,100.541,1,2,0,0
1376,98.3794,4,4,5,1
1377,100.541,3,2,3,0
1377,101.021,2,0,3,0
1378,99.2805,3,2,0,1
1379,100.273,1,5,1,1
1381,100.273,2,5,4,1
1381,100.257,3,5,4,1
1382,100.257,2,5,0,1
1382,100.351,2,2,1,0
1382,100.993,3,1,5,1
1382,99.326,2,0,5,1
1383,99.326,1,0,0,1
1383,99.2805,1,2,0,1
1383,98.3794,1,4,0,1
1383,97.8702,2,0,1,0
1383,101.021,2,0,1,0
1383,101.081,1,5,1,0
1384,97.7291,1,2,2,1
1384,97.7291,3,2,3,1
1384,97.7193,2,3,3,1
1384,97.7193,1,3,4,1
1386,99.791,1,1,5,0
1391,99.461,2,4,0,0
1391,99.791,2,1,0,0
1391,99.9104,1,2,0,0
1391,99.9104,2,2,1,0
1391,99.9104,1,2,2,0
1391,100.847,2,4,2,0
1391,101.081,1,5,2,0
1394,98.8408,2,1,3,1
1395,98.8947,1,3,4,0
1396,98.6468,2,0,2,0
1396,100.376,2,0,5,0
1396,101.081,1,5,5,0
1397,98.0217,1,1,0,1
1397,101.175,3,2,2,0
1397,101.185,1,1,2,0
1397,101.25,1,2,2,0
1398,101.25,1,2,2,0
1398,101.465,1,2,2,0
1399,98.1706,3,3,4,0
1400,98.1706,2,3,0,0
1400,98.3326,2,2,0,0
1400,99.0451,1,1,2,0
1400,101.465,2,2,4,0
1401,99.9277,1,2,3,1
1401,99.9277,2,2,5,1
1402,98.0223,2,0,1,1
1404,98.0217,1,1,1,1
1404,98.1676,2,2,3,0
1405,99.0878,2,5,4,0
1407,100.018,3,4,5,1
1407,98.4378,1,3,5,1
1408,98.4378,1,3,0,1
1408,97.7083,4,5,2,1
1409,97.8272,3,0,4,0
1409,97.9524,2,3,4,0
1411,97.9524,2,3,1,0
1411,97.9524,1,3,5,0
1411,98.3118,1,5,5,0
1412,98.3118,3,5,3,0
1412,99.0747,1,0,3,0
1412,100.251,1,2,3,0
1414,100.251,1,2,1,0
1415,99.9062,2,0,1,0
1415,100.555,2,2,1,0
1415,97.9652,1,4,5,0
1416,97.9652,1,4,5,0
1418,97.7083,1,5,3,1
1418,97.642,1,0,3,1
1419,97.9652,1,4,5,0
1423,98.3347,3,3,0,0
1425,98.3347,1,3,0,0
1425,99.9736,1,0,0,0
1425,99.9736,2,0,4,0
1426,99.5768,3,0,1,1
1426,100.125,1,4,5,0
1426,100.555,3,2,5,0
1426,100.834,1,5,5,0
1427,101.115,2,2,0,0
1428,99.929,1,3,2,1
1429,101.364,3,4,1,0
1429,101.677,2,3,1,0
1430,99.929,3,3,0,1
1433,100.123,3,3,0,0
1433,99.5768,1,0,1,1
1433,99.5201,4,3,1,1
1434,100.123,1,3,2,0
1434,100.225,1,3,2,0
1435,99.6637,2,4,5,1
1437,99.8579,1,2,2,0
1440,99.564,4,5,1,0
1440,99.8579,1,2,1,0
1441,99.5201,1,3,0,1
1441,99.2779,3,5,0,1
1442,99.8579,2,2,0,0
1442,99.8579,1,2,4,0
1442,99.9731,2,5,4,0
1443,99.2779,1,5,1,1
1443,98.7429,1,5,1,1
1445,99.9731,2,5,1,0
1445,100.225,2,3,1,0
1445,100.225,2,3,2,0
1445,100.259,2,2,2,0
1445,98.7429,2,5,3,1
1446,98.7429,1,5,2,1
1446,98.6547,2,0,3,1
1446,98.4506,1,1,3,1
1446,98.2111,1,5,3,1
1446,98.0439,1,3,3,1
1447,98.0439,1,3,0,1
1448,100.259,3,2,0,0
1448,100.669,1,5,0,0
1449,98.0439,1,3,2,1
1452,99.3028,1,4,0,1
1453,100.669,2,5,1,0
1453,100.729,1,4,1,0
1453,99.3028,2,4,4,1
1453,99.3028,2,4,5,1
1453,98.4639,1,4,5,1
1454,97.7808,2,2,5,1
1454,97.6237,1,5,5,1
1455,97.6122,2,0,3,1
1455,97.6096,1,2,3,1
1455,97.6056,1,5,3,1
1458,97.8766,2,5,4,0
1458,97.9004,2,5,4,0
1463,100.729,4,4,4,0
1464,100.138,1,4,1,1
1464,99.2218,2,2,1,1
1465,99.2218,3,2,2,1
1466,97.604,3,1,1,1
1466,97.5976,2,3,1,1
1467,97.5976,1,3,1,1
1467,98.9647,1,2,3,0
1467,100.49,1,3,3,0
1467,101.003,2,2,3,0
1468,101.003,3,2,0,0
1468,101.465,2,4,2,0
1471,98.7099,5,3,1,0
1471,100.543,1,5,5,0
1472,100.543,2,5,3,0
1474,98.9514,1,2,4,0
1474,98.9514,3,2,5,0
1474,100.543,1,5,5,0
1475,101.126,1,1,5,1
1476,101.126,4,1,0,1
1476,97.5976,1,3,4,1
1476,97.5916,1,5,4,1
1477,97.5916,3,5,0,1
1478,97.5916,1,5,1,1
1478,97.5738,3,4,1,1
1478,97.5641,1,4,1,1
1480,99.0629,2,2,0,0
1480,99.8175,2,2,4,0
1481,99.8175,1,2,1,0
1481,100.018,2,1,1,0
1482,97.5641,2,4,1,1
1482,101.465,2,4,4,0
1482,101.677,2,3,4,0
1483,100.678,1,0,2,0
1484,101.725,3,1,4,0
1485,101.645,1,0,5,1
1486,101.725,1,1,4,0
1486,101.825,2,1,4,0
1489,101.645,3,0,2,1
1490,100.626,2,4,4,1
1491,100.626,3,4,2,1
1491,100.243,1,2,3,1
1491,99.2731,4,4,3,1
1492,101.285,2,1,0,0
1492,101.84,1,1,0,0
1492,100.357,2,4,3,1
1492,99.2731,1,4,3,1
1492,98.9858,1,0,3,1
1495,98.9858,1,0,5,1
1496,98.9858,1,0,2,1
1497,101.022,2,1,3,0
1497,101.84,1,1,3,0
1498,98.9858,2,0,0,1
1499,98.6504,1,0,3,0
1499,101.84,1,1,3,0
1499,101.873,1,3,3,0
1500,101.873,1,3,1,0
1501,101.268,1,3,4,1
1501,100.961,4,3,5,1
1501,100.677,1,2,5,1
1502,100.677,2,2,0,1
1502,97.9205,3,4,0,1
1503,99.2125,2,4,1,1
1503,97.9205,1,4,2,1
1503,97.5639,3,4,2,1
1504,101.873,1,3,0,0
1505,97.5244,1,2,4,1
1506,101.902,1,0,1,0
1506,101.936,4,0,1,0
1506,100.147,1,3,5,0
1507,101.809,3,5,1,1
1507,98.5788,1,1,5,0
1509,100.36,2,1,1,1
1509,100.36,2,1,3,1
1509,99.5995,1,5,3,1
1509,101.077,3,4,5,1
1514,100.31,1,5,4,0
1515,99.5995,1,5,0,1
1515,99.2812,1,5,0,1
1515,98.7537,2,3,0,1
1516,100.31,1,5,1,0
1516,100.461,1,0,1,0
1516,98.7537,2,3,3,1
1516,97.5244,1,2,3,1
1516,97.5124,1,4,3,1
1516,97.5062,1,0,3,1
1516,97.5062,3,0,4,1
1516,97.4961,2,2,4,1
1517,100.461,1,0,2,0
1518,97.6663,1,1,0,1
1518,99.895,1,3,5,0
1519,97.6663,3,1,5,1
1519,97.4961,1,2,5,1
1519,97.4951,1,3,5,1
1520,97.6936,2,4,0,0
1520,98.7533,2,3,2,0
1520,99.895,1,3,2,0
1520,100.461,1,0,2,0
1521,98.5459,3,5,1,0
1521,100.461,1,0,1,0
1521,98.1515,2,0,3,1
1521,97.4842,3,1,3,1
1522,97.4842,2,1,2,1
1522,97.4811,3,1,2,1
1523,98.6686,2,1,5,1
1523,97.4811,2,1,5,1
1523,97.4801,1,3,5,1
1524,97.4801,2,3,1,1
1524,100.461,1,0,3,0
1524,100.829,3,4,3,0
1525,100.942,1,3,0,1
1525,101.012,1,3,2,0
1525,101.341,1,0,2,0
1525,101.341,2,0,3,0
1527,98.0759,2,1,3,1
1530,98.0838,2,3,4,0
1531,98.0838,2,3,3,0
1531,99.5344,3,1,3,0
1533,99.5344,1,1,3,0
1533,99.9897,3,5,5,0
1537,100.782,1,5,0,1
1538,98.0759,1,1,0,1
1538,97.8483,1,0,1,0
1538,99.7822,3,0,1,0
1538,97.5574,2,1,4,1
1541,101.341,1,0,3,0
1542,97.5574,1,1,1,1
1542,97.4544,1,4,1,1
1542,97.452,1,4,1,1
1542,97.4356,1,4,1,1
1544,98.9721,1,5,0,0
1544,99.9156,3,1,0,0
1544,101.341,1,0,2,0
1544,101.375,2,2,2,0
1544,101.468,2,4,2,0
1544,101.468,2,4,4,0
1546,101.562,2,5,0,1
1547,101.613,1,4,3,0
1548,101.562,2,5,0,1
1548,98.2736,2,1,4,1
1548,97.4356,2,4,4,1
1548,99.5433,1,0,5,0
1550,101.613,2,4,3,0
1552,101.369,3,5,1,0
1552,99.851,2,5,2,1
1552,98.6241,2,5,2,1
1553,98.6241,1,5,3,1
1555,99.7849,1,3,1,0
1555,98.4359,4,4,5,1
1556,99.7849,3,3,4,0
1556,101.342,2,3,4,0
1557,98.4359,1,4,5,1
1558,101.342,2,3,5,0
1559,101.342,1,3,1,0
1559,101.369,2,5,1,0
1559,101.613,2,4,1,0
1560,98.6133,1,0,5,1
1560,97.4356,2,4,5,1
1561,99.3657,3,2,3,0
1561,100.446,1,3,3,0
1561,97.4283,1,5,4,1
1563,99.1574,1,1,2,0
1564,99.1574,1,1,3,0
1564,97.4283,1,5,4,1
1564,97.4255,3,3,4,1
1564,97.4077,1,5,4,1
1565,97.4077,1,5,4,1
1566,97.4077,2,5,2,1
1566,97.4013,2,1,2,1
1566,99.1662,3,1,5,0
1566,100.806,2,4,5,0
1569,97.5721,1,1,2,0
1569,97.6295,3,1,2,0
1569,97.6295,1,1,5,0
1569,100.806,3,4,5,0
1570,99.7371,2,2,5,1
1570,98.9238,2,3,5,1
1571,101.504,4,2,0,0
1571,101.604,1,2,0,0
1571,101.604,2,2,3,0
1571,101.62,2,5,3,0
1573,99.6422,3,1,4,1
1574,98.9238,1,3,5,1
